LEG_NUMBER,LEG_NAME,LEG_START_LAT,LEG_START_LNG,LEG_END_LAT,LEG_END_LNG,LEG_LENGTH,LINK_START,LINK_END,DIRECTIONS
1,"Leg 1 - Aquaport to Lakehouse Bar & Grill (via Fee Fee Greenway and Creve Coeur Park)",38.72545,-90.44608,38.7009544,-90.496994,5.12,"https://www.google.com/maps?q=38.72545,-90.44608","https://www.google.com/maps?q=38.7009544,-90.496994","https://www.google.com/maps/dir/38.72545,-90.44608/38.7009544,-90.496994"
2,"Leg 2 - Lakehouse Bar & Grill to 364 Access (via Creve Coeur Extension)",38.7009544,-90.496994,38.741153,-90.524274,3.89,"https://www.google.com/maps?q=38.7009544,-90.496994","https://www.google.com/maps?q=38.741153,-90.524274","https://www.google.com/maps/dir/38.7009544,-90.496994/38.741153,-90.524274"
3,"Leg 3 - 364 Access to Greens Bottom Trailhead via Katy Trail",38.741153,-90.524274,38.714401,-90.56675,3.21,"https://www.google.com/maps?q=38.741153,-90.524274","https://www.google.com/maps?q=38.714401,-90.56675","https://www.google.com/maps/dir/38.741153,-90.524274/38.714401,-90.56675"
4,"Leg 4 - Greens Bottom to MO Research Park via Katy Trail and Busch Greenway",38.714401,-90.56675,38.6946466,-90.6843187,7.24,"https://www.google.com/maps?q=38.714401,-90.56675","https://www.google.com/maps?q=38.6946466,-90.6843187","https://www.google.com/maps/dir/38.714401,-90.56675/38.6946466,-90.6843187"
5,"Leg 5 - MO Research Park to Lewis & Clark Trail Head",38.6946466,-90.6843187,38.69111,-90.72442,4.48,"https://www.google.com/maps?q=38.6946466,-90.6843187","https://www.google.com/maps?q=38.69111,-90.72442","https://www.google.com/maps/dir/38.6946466,-90.6843187/38.69111,-90.72442"
6,"Leg 6 - Lewis & Clark Trail Head to Weldon Spring Trail Head",38.69111,-90.72442,38.659962,-90.743787,5.66,"https://www.google.com/maps?q=38.69111,-90.72442","https://www.google.com/maps?q=38.659962,-90.743787","https://www.google.com/maps/dir/38.69111,-90.72442/38.659962,-90.743787"
7,"Leg 7 - Weldon Spring Trail Head to Lost Valley Trail Head (Weldon Spring CA)",38.659962,-90.743787,38.6614265,-90.75767,6.05,"https://www.google.com/maps?q=38.659962,-90.743787","https://www.google.com/maps?q=38.6614265,-90.75767","https://www.google.com/maps/dir/38.659962,-90.743787/38.6614265,-90.75767"
8,"Leg 8 - Weldon Spring Conservation Area to Matson via Hamburg Trail to Katy Trail",38.6614265,-90.75767,38.608612,-90.79485,4.39,"https://www.google.com/maps?q=38.6614265,-90.75767","https://www.google.com/maps?q=38.608612,-90.79485","https://www.google.com/maps/dir/38.6614265,-90.75767/38.608612,-90.79485"
9,"Leg 9 - Matson to Klondike",38.608612,-90.79485,38.58024,-90.83944,3.59,"https://www.google.com/maps?q=38.608612,-90.79485","https://www.google.com/maps?q=38.58024,-90.83944","https://www.google.com/maps/dir/38.608612,-90.79485/38.58024,-90.83944"
10,"Leg 10 - Klondike to Augusta",38.58024,-90.83944,38.569882,-90.881067,2.65,"https://www.google.com/maps?q=38.58024,-90.83944","https://www.google.com/maps?q=38.569882,-90.881067","https://www.google.com/maps/dir/38.58024,-90.83944/38.569882,-90.881067"
11,"Leg 11 - Augusta to Dutzow via Katy Trail",38.569882,-90.881067,38.602628,-90.999058,7.56,"https://www.google.com/maps?q=38.569882,-90.881067","https://www.google.com/maps?q=38.602628,-90.999058","https://www.google.com/maps/dir/38.569882,-90.881067/38.602628,-90.999058"
12,"Leg 12 - Dutzow to Marthasville via Katy Trail",38.602628,-90.999058,38.627633,-91.060658,3.78,"https://www.google.com/maps?q=38.602628,-90.999058","https://www.google.com/maps?q=38.627633,-91.060658","https://www.google.com/maps/dir/38.602628,-90.999058/38.627633,-91.060658"
13,"Leg 13 - Marthasville to Treloar via Katy Trail",38.627633,-91.060658,38.643583,-91.188267,6.96,"https://www.google.com/maps?q=38.627633,-91.060658","https://www.google.com/maps?q=38.643583,-91.188267","https://www.google.com/maps/dir/38.627633,-91.060658/38.643583,-91.188267"
14,"Leg 14 - Treloar to Bernheimer Road via Katy Trail",38.643583,-91.188267,38.66808,-91.25537,4.19,"https://www.google.com/maps?q=38.643583,-91.188267","https://www.google.com/maps?q=38.66808,-91.25537","https://www.google.com/maps/dir/38.643583,-91.188267/38.66808,-91.25537"
15,"Leg 15 - Bernheimer Road to Gore Case Community Center",38.66808,-91.25537,38.72521,-91.34014,6.11,"https://www.google.com/maps?q=38.66808,-91.25537","https://www.google.com/maps?q=38.72521,-91.34014","https://www.google.com/maps/dir/38.66808,-91.25537/38.72521,-91.34014"
16,"Leg 16 - Gore Case Community Center to Case Road via country road and Katy Trail",38.72521,-91.34014,38.73476,-91.37289,2.69,"https://www.google.com/maps?q=38.72521,-91.34014","https://www.google.com/maps?q=38.73476,-91.37289","https://www.google.com/maps/dir/38.72521,-91.34014/38.73476,-91.37289"
17,"Leg 17 - Case Road to McKittrick via Katy Trail",38.73476,-91.37289,38.73410,-91.44449,3.89,"https://www.google.com/maps?q=38.73476,-91.37289","https://www.google.com/maps?q=38.73410,-91.44449","https://www.google.com/maps/dir/38.73476,-91.37289/38.73410,-91.44449"
18,"Leg 18 - McKittrick to HERMANN !! via Katy Trail, Hwy 19, and city of Hermann roads :)",38.73410,-91.44449,38.70396,-91.43376,2.63,"https://www.google.com/maps?q=38.73410,-91.44449","https://www.google.com/maps?q=38.70396,-91.43376","https://www.google.com/maps/dir/38.73410,-91.44449/38.70396,-91.43376"
